service_id,date,exception_type
ExSun-1,20250418,2
ExSun-1,20250421,2
ExSun-1,20250425,2
ExSun-1,20250602,2
ExSun-2,20250418,2
ExSun-2,20250419,2
ExSun-2,20250421,2
ExSun-2,20250425,2
ExSun-2,20250426,2
ExSun-2,20250602,2
FriSat-1,20250418,2
FriSat-2,20250418,2
FriSat-2,20250425,2
Friday-1,20250418,2
Friday-1,20250425,2
Friday-2,20250417,1
Friday-2,20250418,2
Friday-2,20250425,2
Monday-2,20250403,1
Other-1,20250325,1
Other-1,20250326,1
Other-1,20250327,1
Other-1,20250328,1
Other-1,20250331,1
Other-1,20250401,1
Other-1,20250402,1
Other-1,20250403,1
Other-1,20250404,1
Other-1,20250407,1
Other-1,20250408,1
Other-1,20250409,1
Other-1,20250410,1
Other-1,20250411,1
Other-1,20250414,1
Other-1,20250415,1
Other-1,20250416,1
Other-1,20250417,1
Other-1,20250422,1
Other-1,20250423,1
Other-1,20250424,1
Other-10,20250325,1
Other-10,20250326,1
Other-10,20250327,1
Other-11,20250325,1
Other-11,20250326,1
Other-11,20250327,1
Other-11,20250401,1
Other-11,20250408,1
Other-11,20250409,1
Other-11,20250410,1
Other-12,20250402,1
Other-13,20250325,1
Other-13,20250326,1
Other-13,20250327,1
Other-13,20250401,1
Other-13,20250402,1
Other-13,20250408,1
Other-13,20250409,1
Other-13,20250410,1
Other-14,20250412,1
Other-14,20250414,1
Other-14,20250415,1
Other-14,20250416,1
Other-14,20250417,1
Other-14,20250419,1
Other-14,20250422,1
Other-14,20250423,1
Other-14,20250424,1
Other-14,20250426,1
Other-15,20250331,1
Other-15,20250407,1
Other-16,20250331,1
Other-16,20250403,1
Other-16,20250407,1
Other-17,20250407,1
Other-18,20250419,1
Other-18,20250426,1
Other-19,20250425,1
Other-2,20250412,1
Other-2,20250413,1
Other-2,20250418,1
Other-2,20250419,1
Other-2,20250420,1
Other-2,20250421,1
Other-2,20250425,1
Other-2,20250426,1
Other-2,20250427,1
Other-20,20250328,1
Other-20,20250411,1
Other-20,20250509,1
Other-20,20250516,1
Other-20,20250523,1
Other-20,20250613,1
Other-21,20250404,1
Other-21,20250418,1
Other-21,20250419,1
Other-21,20250420,1
Other-21,20250502,1
Other-21,20250531,1
Other-21,20250606,1
Other-22,20250418,1
Other-22,20250419,1
Other-22,20250420,1
Other-23,20250418,1
Other-23,20250419,1
Other-23,20250420,1
Other-23,20250421,1
Other-23,20250531,1
Other-24,20250406,1
Other-24,20250418,1
Other-24,20250419,1
Other-24,20250420,1
Other-24,20250421,1
Other-24,20250504,1
Other-24,20250601,1
